id,UMAP1,UMAP2,supervoxel_id,position,side,region,flow,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,cluster,super_cluster
720575941623015788,4.772365177177609,-0.3433194121639396,75861080441946112,"111649, 107938, 3158",left,ventral_nerve_cord,efferent,visceral_circulatory,00B,NA,"left_cervical_nerve, right_cervical_nerve",EA00B022,NA,EA00B022,EFF_06,feeding-endocrine
720575941439445823,6.335617626213254,1.8524774351795061,75302735498594711,"95542, 245184, 6148",left,ventral_nerve_cord,efferent,visceral_circulatory,00B,NA,abdominal_nerve_trunk,EN00B019,NA,EN00B019,EFF_05,abdomen-ureter
720575941458041247,6.4113202934495925,-0.5029703339855338,75232229248400985,"93331, 241184, 5905",right,ventral_nerve_cord,efferent,motor,putative_primary,NA,abdominal_nerve_trunk,ENXXX226,NA,ENXXX226,EFF_16,thoracic-abdominal
720575941526582093,8.043448055290401,-0.0372738799373771,76209969426955467,"121862, 19066, 3998",right,central_brain,efferent,visceral_circulatory,DILP__prim,"diuresis,food_intake,energy_metabolism,post_mating_responses","left_corpus_cardiacum_nerve, right_corpus_cardiacum_nerve",m_NSC_DH44,m_NSC_DH44,NA,EFF_04,energy homeostasis
720575941435729964,7.104917610191514,0.5473309794147345,75864860818854550,"111270, 220257, 6347",left,ventral_nerve_cord,efferent,visceral_circulatory,NA,"diuresis,stress_tolerance,pain_threshold",right_mesothoracic_leg_nerve,EFFabg38,NA,MNad25,EFF_15,energy homeostasis
720575941431976718,-2.0756878013380162,-2.23860376685068,75231610504959476,"93285, 221585, 4968",right,ventral_nerve_cord,efferent,motor,21A,leg_motor,right_metathoracic_leg_nerve,femur_reductor,NA,Pleural remotor/abductor MN,EFF_10,middle-hind leg
720575941503422187,-1.946385776496711,-2.1311650237361994,75231747877140635,"93284, 227117, 4843",right,ventral_nerve_cord,efferent,motor,19A,leg_motor,right_first_abdominal_nerve,sternal_adductor_MetaAN,NA,MNhl62,EFF_10,middle-hind leg
720575941688507148,6.188259685539437,0.26419604212835773,75373104175876900,"97118, 244113, 5960",left,ventral_nerve_cord,efferent,visceral_circulatory,NA,ovulation,abdominal_nerve_trunk,EFFabg41,NA,MNad22,EFF_15,abdomen-reproductive
720575941448798133,-4.5189208144910875,-4.949255820206847,76214160912492046,"121809, 144498, 2517",right,ventral_nerve_cord,efferent,motor,24B.25B,leg_motor,right_prothoracic_leg_nerve,femur_reductor,NA,Fe reductor MN,EFF_11,middle-hind leg
720575941548856381,1.769959518813313,1.4178255835254492,75794423287856205,"108994, 217649, 5998",right,ventral_nerve_cord,efferent,motor,NA,NA,left_fourth_abdominal_nerve,EFFabg12,NA,MNad02,EFF_07,abdomen motor 1
720575941561204626,-7.685774242378043,-0.1702535113613274,76988148512709519,"144159,142679,2850",left,ventral_nerve_cord,efferent,motor,24B.25B,leg_motor,left_prothoracic_leg_nerve,femur_reductor,NA,Fe reductor MN,EFF_14,middle-hind leg
