root_id,UMAP1,UMAP2,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941415847708,7.707217307675822,0.8484907665044537,74591763390373342,"74687, 27036, 4858",right,central_brain,central_brain_intrinsic,LHl2_dorsal,NA,LHAD1d1,LHAD1d1,NA,NA,right olfactory
720575941415851292,2.877932162869914,-2.9619050107210407,76633144031943126,"133922, 47329, 4308",left,central_brain,central_brain_intrinsic,DM2_or_DM3_posterior,NA,CB1227,CB1227,NA,NA,inferior brain
720575941415853084,-0.9365439695229696,-0.6250969848840963,76422449579141725,"127310, 61315, 2159",left,central_brain,central_brain_intrinsic,LB19,NA,CB2415,CB2415,NA,NA,posterior brain
720575941415861020,1.5826146322378942,-2.0738260827272668,75365956478130063,"97741, 32455, 2717",right,central_brain,central_brain_intrinsic,LALa1_anterior,NA,CB2002,CB2002,NA,NA,inferior brain
720575941415866140,3.739782186139567,-2.2165932736604943,75436050813982677,"99047, 23990, 4437",right,central_brain,central_brain_intrinsic,AOTUv3_dorsal,NA,SMP016_b,SMP016_b,NA,NA,inferior brain
720575941415879196,4.852926345456582,-2.648162134668184,76772850794849215,"137298, 16706, 4417",left,central_brain,central_brain_intrinsic,CREa2_ventral,NA,LAL031,LAL031,NA,NA,superior brain
720575941415883804,4.3099652248511156,4.079183808782743,74380725608592334,"69392, 28824, 3738",right,optic_lobe,visual_projection,VPNd2,visual,LC10a,LC10a,NA,NA,right visual
720575941415888020,-3.0837601703515225,-8.398092993280247,77899712640037757,"169990, 46804, 3855",left,optic_lobe,visual_projection,VPNv2,walking,LC16,LC16,NA,NA,left visual
720575941415889180,-2.8391591590752765,6.092995397070096,75648049460452572,"104631, 50806, 959",right,central_brain,central_brain_intrinsic,putative_primary,NA,CB0807,CB0807,NA,NA,flange median bundle
720575941415900444,-0.10514224142934565,-1.246926315805269,76633075044125061,"135081, 46734, 3309",left,central_brain,central_brain_intrinsic,AOTUv1_ventral,NA,CB2033,CB2033,NA,NA,posterior brain
720575941415909009,-9.384270100008502,4.714414826849148,76778760602842292,"138372, 192675, 4193",left,ventral_nerve_cord,ventral_nerve_cord_intrinsic,20A.22A,NA,IN20A.22A087,NA,IN20A.22A087,NA,leg VNC
720575941415914268,1.3778394180426428,2.726965180853056,74592037596539236,"75572, 35448, 2061",right,central_brain,central_brain_intrinsic,VLPp1,NA,AVLP541a,AVLP541a,NA,NA,lateral brain
720575941415916433,9.080805392850383,2.5546581663877235,74802938341989319,"81468, 30467, 4731",right,central_brain,central_brain_intrinsic,LHd1,NA,CB2552,CB2552,NA,NA,right olfactory
720575941415935516,6.127956481564981,-2.424952276727511,75717594577352770,"108340, 26317, 4731",right,central_brain,central_brain_intrinsic,SMPp&v1_posterior,NA,CB1926,CB1926,NA,NA,superior brain
720575941415948572,5.446375461209757,-4.583804377099825,77266050546912629,"152175, 34954, 4825",left,central_brain,central_brain_intrinsic,SLPad1_posterior,NA,CB1149,CB1149,NA,NA,superior brain
