flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,sexually_dimorphic,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted,other_names,alignment_cell_type,fafb_783_cell_type,manc_121_cell_type,fanc_1116_cell_type,hemibrain_121_cell_type,malecns_09_cell_type,fafb_783_match_id,manc_121_match_id,fanc_1116_match_id,hemibrain_121_match_id,malecns_09_match_id
,,lobula_plate_columnar,EB_input,,,,rest,move_coxa_anterior,pharynx_m12d_muscle,,,right_corpus_cardiacum_nerve,ALv2,,,,,,,,,,,,,,,,
,,lobula_plate_intrinsic,eb_wedge_neuron,,,,retina_motor,move_coxa_medial,photoreceptor,,,right_dorsal_metathoracic_nerve,AOTUv1_medial,,,,,,,,,,,,,,,,
,,lobula_plate_lobula_columnar,ExR,,,,salivary_motor,move_coxa_posterior,pleural_remotor_and_abductor_muscle,,,right_dorsal_prothoracic_nerve,AOTUv1_ventral,,,,,,,,,,,,,,,,
,,lobula_plate_tangential_cell,eye_bristle_neuron,,,,steering,move_coxa_posterior_lateral,pleurosternal_muscle,,,right_eye_nerve,AOTUv2,,,,,,,,,,,,,,,,
,,lobula_tangential,eye_motor_neuron,,,,tactile,Ms,proboscis_m1_muscle,,,right_first_abdominal_nerve,AOTUv3_dorsal,,,,,,,,,,,,,,,,
,,medial_antennal_lobula,FB_tangential,,,,thermohygro,neck_pitch,proboscis_m2da_muscle,,,right_fourth_abdominal_nerve,AOTUv3_ventral,,,,,,,,,,,,,,,,
,,medulla_intrinsic,FC,,,,thermosensory,neck_roll,proboscis_m2db_muscle,,,right_maxillary-labial_nerve,AOTUv4_dorsal,,,,,,,,,,,,,,,,
,,medulla_lobula_lobula_plate_amacrine,FR,,,,threat_response,neck_roll_pitch,proboscis_m2v_muscle,,,right_mesothoracic_accessory_nerve,AOTUv4_ventral,,,,,,,,,,,,,,,,
,,medulla_lobula_plate,front_leg_bilateral_campaniform_sensillum_neuron,,,,unknown_mechanosensory,neck_yaw,proboscis_m3l_muscle,,,right_mesothoracic_leg_nerve,CLp1,,,,,,,,,,,,,,,,
,,medulla_lobula_tangential,front_leg_bristle_neuron,,,,unknown_sensory,pharyngeal_pumping,proboscis_m3m_muscle,,,right_metathoracic_leg_nerve,CLp1_or_SLPpm2,,,,,,,,,,,,,,,,
,,medulla_medulla,front_leg_campaniform_sensillum_neuron,,,,unknown_wing_motor,phasic_wing_steering,proboscis_m4a_muscle,,,right_occipital_nerve,CLp2,,,,,,,,,,,,,,,,
,,medulla_tangential,front_leg_chordotonal_organ_neuron,,,,visceral_chemosensation,pheromone_volatile,proboscis_m4b_muscle,,,right_pharyngeal_nerve,CREa1_dorsal,,,,,,,,,,,,,,,,
,,medulla_tubercle,front_leg_claw_chordotonal_organ_neuron,,,,visceral_mechanosensation,plant_matter_volatile,proboscis_m5_muscle,,,right_pharyngeal_nerve_or_accessory_pharyngeal_nerve,CREa1_ventral,,,,,,,,,,,,,,,,
,,middle_leg_orphan_neuron,front_leg_club_chordotonal_organ_neuron,,,,visual,position,proboscis_m6_muscle,,,right_posterior_dorsal_mesothoracic_nerve,CREa2_medial,,,,,,,,,,,,,,,,
,,multidendritic_neuron,front_leg_hair_plate_neuron,,,,visual_achromatic,ppk23,proboscis_m7_muscle,,,right_prosternal_nerve,CREa2_ventral,,,,,,,,,,,,,,,,
