id,UMAP1,UMAP2,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941530466488,-18.58329118385385,-26.165581322802492,76282811736731033,"123424, 92500, 2792",left,central_brain,descending,MX3,NA,NA,DNg08_b,DNg08_b,DNg08,flight power,dorsal VNC
720575941530471096,-0.29905862703393354,-33.770899392260496,76282811803449724,"124572, 92500, 2844",right,ventral_nerve_cord,ascending,07B,NA,NA,AN07B049,AN_GNG_175,AN07B049,head orienting,dorsal VNC
720575941530577355,-15.13372720375131,-42.791529275073,76282811803956909,"122929, 92500, 3025",left,central_brain,descending,PSp2,NA,NA,DNpe054,DNpe054,DNut046,head orienting,dorsal VNC
720575941530606467,-20.841729294205408,-16.630007363451906,75648393460169860,"105127, 60227, 2373",right,central_brain,descending,LB12,NA,NA,DNg06,DNg06,DNxn100,flight power,dorsal VNC
720575941530649803,14.701742042159335,-32.128439522875745,76001336826780920,"116508, 92500, 2855",right,ventral_nerve_cord,ascending,03B,NA,NA,AN03B039,SA_DMT_DMetaN_6,IN02A026,flight steering 2,dorsal VNC
720575941530837451,10.369590629195471,-33.05311832536597,76636786298062149,"133766, 156075, 4684",left,ventral_nerve_cord,ascending,06A,NA,NA,AN06A092,NA,AN06A092,flight steering 2,dorsal VNC
720575941530964355,32.05399214134145,3.2722283829317647,76216360539350633,"121622, 208947, 4671",left,ventral_nerve_cord,ascending,10B,NA,NA,AN10B060,AN_AVLP_SAD_1,AN10B060,proprioceptive,lateral brain
720575941531174328,-1.2418332804686867,22.869033240185786,76146129167161267,"119947, 214861, 4471",left,ventral_nerve_cord,ascending,09B,NA,NA,AN09B001,NA,AN09B001,taste-touch,leg VNC
720575941531178469,-4.715233932877287,0.016034819589670287,76286660698247307,"124831, 207421, 5185",left,ventral_nerve_cord,ascending,04A,NA,NA,AN04A001,AN_GNG_165,AN04A001,walking,leg VNC
720575941531252939,9.419502128218907,-0.08600596298116865,76284667364139534,"124569, 149084, 3553",left,ventral_nerve_cord,ascending,07B,NA,NA,AN07B017,AN_GNG_156,AN07B017,walking,leg VNC
720575941531270347,2.587706435775057,7.530678652630862,75654372994204651,"105818, 237767, 5974",left,ventral_nerve_cord,ascending,NA,NA,NA,ANXXX988,NA,auto:INXXX058,postural control,abdominal VNC
720575941531283403,2.228861678694979,19.225514792309813,75232641364519414,"92687, 253438, 5344",right,ventral_nerve_cord,ascending,09B,NA,NA,AN09B042,AN_GNG_SAD_6,AN09B042,feeding,abdominal VNC
720575941531334373,30.529496062850253,16.80514659772973,76353180547885194,"126211, 92500, 2932",left,central_brain,descending,MX12,NA,NA,DNg12_e,DNg12_e,DNxn108,grooming,leg VNC
720575941531432907,-10.361138473892913,23.073182486401613,76212442992255493,"121186, 92500, 2630",left,ventral_nerve_cord,ascending,17A,NA,NA,AN17A013,AN_GNG_191,AN17A013,taste-touch,leg VNC
720575941531484619,-16.82444871559213,3.112911843167361,76215604625374900,"122518, 187939, 4772",right,ventral_nerve_cord,ascending,NA,NA,NA,ANXXX136,AN_multi_84,ANXXX136,visceral control,flange median bundle
720575941531514808,17.10380064353873,12.559831999646246,76001336759713703,"115053, 92500, 2629",left,central_brain,descending,putative_primary,NA,NA,DNg37,DNg37,DNg37,probing,leg VNC
720575941531528421,-7.576514374161467,25.307286642895754,76145923075972793,"119058, 207313, 4778",left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B062,AN_AVLP_GNG_23,AN05B062,postural control,leg VNC
720575941531735269,17.25162397727896,11.233387373791748,75788855735336358,"109243, 51454, 1190",right,central_brain,descending,MX7__prim,NA,NA,DNg72,DNg72,DNg72,probing,flange median bundle
720575941531911115,4.629190314864411,28.96498241315943,76426641869923785,"127716, 184420, 3725",right,ventral_nerve_cord,ascending,05B,NA,NA,AN05B036,NA,auto:IN05B036,reproduction,leg VNC
720575941531918565,4.596675265883699,-30.756359673632566,76211961889207644,"122182, 77826, 2506",right,central_brain,descending,LB7,NA,NA,DNge092,DNge092,DNxn109,head orienting,dorsal VNC
720575941531974629,-8.900350700760585,-40.90484867204564,76633487092296501,"133565, 57450, 2191",left,central_brain,descending,LB7,NA,NA,DNg36_b,DNg36_b,DNg18,head orienting,dorsal VNC
720575941532002533,0.3787567506783162,10.358538054333744,76777385944745847,"138015, 152435, 3129",left,ventral_nerve_cord,ascending,08B,wing_vibration,NA,AN08B031,NA,AN08B031,postural control,leg VNC
720575941532187626,16.0251797328942,-33.45615253557105,76212443059214009,"121040, 92500, 2824",right,ventral_nerve_cord,ascending,08B,NA,NA,AN08B071,AN_GNG_IPS_9,AN08B071,flight steering 2,dorsal VNC
720575941532484581,6.023526061629548,20.01473560224634,76146678856055595,"119017, 230120, 4330",left,ventral_nerve_cord,ascending,01B,NA,NA,AN01B004,AN_GNG_162,AN01B004,feeding,leg VNC
720575941532674435,-11.304350983048185,17.134969138012945,76075554532946598,"118340, 207653, 5490",left,ventral_nerve_cord,ascending,17B,NA,NA,AN17B002,AN_GNG_AMMC_1,AN17B002,reproduction,lateral brain
720575941532746981,-10.084204803848968,23.500857733593996,75647637881663387,"105389, 37561, 3717",right,central_brain,descending,DM6_central2,NA,NA,DNp43,DNp43,DNp43,threat response,leg VNC
720575941532753893,-2.49136913909982,8.46393909345728,76142074315313120,"120419, 92500, 2916",right,ventral_nerve_cord,ascending,06B,NA,NA,AN06B075,AN_LAL_1,AN06B075,reproduction,leg VNC
720575941532803160,3.3332422862999587,3.97356595884424,75930968082718044,"112793, 92500, 2901",right,central_brain,descending,NA,NA,NA,DNge144,DNge144,DNxl081,postural control,leg VNC
720575941532854501,-3.320395122910246,30.134219550000246,76496873041207614,"130056, 181210, 3318",left,ventral_nerve_cord,ascending,09B,NA,NA,AN09B021,AN_GNG_AVLP_2,AN09B021,taste-touch,leg VNC
720575941532908773,-12.104461800003751,33.821366690503176,76356066900311706,"125984, 179175, 3505",right,ventral_nerve_cord,ascending,10B,NA,NA,AN10B039,NA,AN10B039,proprioceptive,leg VNC
720575941532995521,-12.116612564469085,9.374544524060308,76212442992510537,"121644, 92500, 2717",right,ventral_nerve_cord,ascending,05B,NA,NA,AN05B104,AN_GNG_92,AN05B104,proprioceptive,leg VNC
720575941532999361,-5.089849125290619,11.755629919873297,76001336759766650,"116559, 92500, 2651",left,ventral_nerve_cord,ascending,NA,NA,NA,ANXXX380,AN_FLA_VES_1,ANXXX380,postural control,abdominal VNC
720575941533250738,-0.3557928909308756,3.9196974266634537,76848029701547199,"139605, 159886, 3824",right,ventral_nerve_cord,ascending,14A,NA,NA,AN14A003,AN_GNG_179,AN14A003,walking,leg VNC
720575941533291457,5.24216448173453,-35.898039437426505,76777248640363542,"137864, 148602, 3766",left,ventral_nerve_cord,ascending,16B,NA,NA,AN16B078,NA,AN16B078,flight steering 2,dorsal VNC
720575941533316995,-7.794113289261564,3.609636210309084,76215604826359744,"122174, 188194, 5416",right,ventral_nerve_cord,ascending,18B,NA,NA,AN18B999,auto:CvN10,auto:AN18B032,postural control,dorsal VNC
720575941533339779,11.858272422408358,-40.24320850480933,75930968082715251,"114378, 92500, 2899",left,ventral_nerve_cord,ascending,19B,NA,NA,AN19B063,NA,AN19B063,flight steering 2,dorsal VNC
720575941533354469,-16.207317482376794,3.5927542675600606,75794698031097651,"109184, 225702, 5379",right,ventral_nerve_cord,ascending,NA,NA,NA,ANXXX202_c,AN_SAD_FLA_1,ANXXX202,visceral control,flange median bundle
720575941533380362,33.5693462978356,-7.416610337389891,76567241919634043,"131353, 182095, 3816",left,ventral_nerve_cord,ascending,10B,NA,NA,AN10B047,AN_AVLP_53,AN10B047,vibratory,lateral brain
720575941533398659,9.061820853804845,-21.88981495012182,76703787117103305,"136293, 56562, 2244",left,central_brain,descending,LB7,NA,NA,DNge094,DNge094,DNxn105,flight power,posterior brain
720575941533506586,-16.179633270645834,-24.927038766039793,76282811736682800,"123094, 92500, 2770",left,central_brain,descending,MX3,NA,NA,DNg106,DNg106,DNg106,flight power,dorsal VNC
720575941533541720,12.97525774345328,-1.995614863528196,76707223560658690,"135899, 158751, 3996",left,ventral_nerve_cord,ascending,06B,NA,NA,AN06B026,AN_multi_41,AN06B026,walking steering,leg VNC
720575941533543402,32.057738174056304,-17.52673969377416,76707223358961756,"136246, 158283, 3120",right,ventral_nerve_cord,ascending,10B,NA,NA,AN10B022,AN_AVLP_46,AN10B022,vibratory,lateral brain
720575941533567754,6.40784822807242,-32.81720600236791,76000512059314373,"114796, 68373, 2508",right,central_brain,descending,LB6,NA,NA,DNge071,DNge071,DNnt011,flight steering 2,dorsal VNC
720575941533578177,8.132603515242833,-32.036985970629644,75930143315107999,"114264, 67920, 2498",right,central_brain,descending,LB6,NA,NA,DNge085,DNge085,DNnt011,flight steering 2,dorsal VNC
720575941533592805,4.687187541579498,4.245241068707522,76144273606789998,"119455, 158743, 3854",right,ventral_nerve_cord,ascending,12A,NA,NA,AN12A017,AN_GNG_11,auto:IN12A013,postural control,leg VNC
720575941533704067,-25.77991021766732,-16.977036095751703,76562637580319030,"133055, 44457, 3249",left,central_brain,descending,putative_primary,NA,NA,DNp31,DNp31,DNp31,flight steering 1,dorsal VNC
720575941533782360,-21.309533249283533,13.764663122998293,76917917140546212,"142531, 145664, 2647",left,ventral_nerve_cord,ascending,08B,NA,NA,AN08B109,NA,AN08B109,threat response,leg VNC
720575941533807082,-5.64934695854257,-17.168860055102293,76492955896565168,"130052, 64058, 2703",left,central_brain,descending,LB6,leg_rubbing,NA,DNg11,DNg11,DNg11,flight power,posterior brain
720575941533814757,-8.587583195114835,26.499699972973872,76145923076251036,"119505, 207185, 4860",left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B060,AN_AVLP_GNG_23,AN05B060,postural control,leg VNC
720575941533857546,-0.4059179831988659,-28.912150002612062,76071705504191904,"117146, 92500, 2732",left,ventral_nerve_cord,ascending,07B,NA,NA,AN07B041,NA,AN07B041,flight power,dorsal VNC
