UMAP1,UMAP2,id,top_nt,side,region,super_class,hemilineage,cell_function,nerve,composite_cell_type,cell_class,cell_sub_class,cell_type,fafb_cell_type,manc_cell_type,neck_group,group,label,unordered_cluster,cluster,colours
2.5845556447941114,-7.536378753128904,720575941490285006,acetylcholine,left,neck_connective,ascending,23B,NA,NA,AN23B003,ascending,NA,AN23B003,AN_GNG_81,AN23B003,IN,ascending_IN,NA,2,AN_12,#9FB555
-0.964394282297487,-1.6077062010201395,720575941490416181,gaba,right,neck_connective,descending,putative_primary,NA,NA,DNg93,descending,,DNg93,DNg93,DNg93,IN,descending_IN,NA,3,DN_26,#2C8EC0
25.338315028949385,28.52543030982886,720575941490463541,acetylcholine,left,neck_connective,ascending,10B,NA,NA,AN10B029,ascending,NA,AN10B029,AN_AVLP_43,AN10B029,OUT,ascending_OUT,NA,11,AN_23,#8D6F58
-23.499291401104326,-3.205969464722532,720575941490535600,glutamate,left,neck_connective,descending,PSp3,NA,NA,DNpe010,descending,NA,DNpe010,DNpe010,NA,OUT,descending_OUT,NA,23,DN_03,#B56FCC
1.333857793613081,-14.667658221665281,720575941490558261,acetylcholine,right,neck_connective,descending,putative_primary,NA,NA,DNpe023,descending,NA,DNpe023,DNpe023,DNit013,IN,descending_IN,NA,2,DN_12,#9FB555
10.665800113483076,3.9762669683066427,720575941490590924,glutamate,right,neck_connective,descending,MX3,NA,NA,DNge099,descending,,DNge099,DNge099,NA,IN,descending_IN,NA,15,DN_24,#41A4D5
15.533438701434736,-18.378372561875242,720575941490651337,acetylcholine,left,neck_connective,ascending,TBD,NA,NA,ANXXX380,ascending,,ANXXX380,AN_FLA_VES_1,ANXXX380,IN,ascending_IN,NA,22,AN_16,#C4B39C
19.567320842548018,-16.76949156517114,720575941490653129,acetylcholine,right,neck_connective,descending,putative_primary,NA,NA,DNp14,descending,,DNp14,DNp14,DNp14,IN,descending_IN,NA,22,DN_16,#C4B39C
-0.01621530552327133,-5.525873076859373,720575941490674741,acetylcholine,right,neck_connective,descending,putative_primary,walking,NA,DNge050,descending,,DNge050,DNge050,DNxl049,IN,descending_IN,DNge050,3,DN_26,#2C8EC0
-19.34226511021077,13.041241276320559,720575941490679497,acetylcholine,right,neck_connective,descending,LB7,NA,NA,DNge145,descending,NA,DNge145,DNge145,DNxn115,IN,descending_IN,NA,14,DN_08,#D73029
25.091547984882002,6.508854973372561,720575941490694453,serotonin;gaba,left,neck_connective,descending,putative_primary,neuromodulatory,NA,DNp30,descending,,DNp30,DNp30,DNp30,OUT,descending_OUT,DNp30,6,DN_22,#FA4141
-19.913273792461748,-6.011964690628904,720575941490699061,glutamate;acetylcholine,left,neck_connective,ascending,19B,NA,NA,AN19B019,ascending,,AN19B019,AN_multi_105,AN19B019,IN,ascending_IN,NA,23,AN_03,#B56FCC
-20.474104862408037,12.31837521797095,720575941490701257,gaba,left,neck_connective,ascending,06B,NA,NA,AN06B031,ascending,NA,AN06B031,SA_DMT_DMetaN_12,AN06B031,IN,ascending_IN,NA,14,AN_08,#D73029
-0.7329787572187135,3.7482792020407736,720575941490705865,glutamate,left,neck_connective,ascending,14A,NA,NA,AN14A003,ascending,NA,AN14A003,NA,AN14A003,IN,ascending_IN,NA,26,AN_27,#FBCD5A
