id,supervoxel_id,composite_cell_type,super_class,cell_type,cluster,colours,UMAP1,UMAP2
720575941495636608,75794698166020386,MNad21_A2,visceral_circulatory,MNad21,EFF_12,#CB9D81,1.7906974034766319,-0.03907542680912712
720575941438919724,76075692173141189,MNad36,motor,MNad36,EFF_13,#695B52,0.36473942570487283,0.19821257139033577
720575941622252796,76357579466636825,tergotrochanter_extensor_MetaAN,motor,tergotrochanter_extensor_MetaAN,EFF_04,#71C4EF,-0.49293684191902853,-0.7061484382074426
720575941577119825,76216979350686043,tergotrochanter_extensor_MetaAN_T3,motor,tergotrochanter_extensor_MetaAN,EFF_23,#3A9B9C,-2.738815538360679,-0.8009594008844445
720575941492529278,75935023404150183,MNad24,motor,MNad24,EFF_06,#F63C3C,1.818055995033181,1.9534718468267371
720575941517726936,76216704606977647,sternal_posterior_rotator_dorsomedial_ribbon,motor,sternal_posterior_rotator_dorsomedial_ribbon,EFF_23,#3A9B9C,-2.709835283233726,-0.25958185648136833
720575941551713415,76216154783624894,NA,motor,NA,EFF_13,#695B52,0.8030845003584983,0.4369880631048133
720575941644108961,76145510960363168,VUM_left_MetaLN_right_MetaLN,visceral_circulatory,VUM_left_MetaLN_right_MetaLN,EFF_11,#B56FCC,0.9869339542845847,1.190562434442704
720575941618260607,75935573227132682,sternal_posterior_rotator_dorsomedial_ribbon,motor,sternal_posterior_rotator_dorsomedial_ribbon,EFF_23,#3A9B9C,-2.709835283233726,-0.25958185648136833
720575941488656332,75443472920638583,NA,motor,NA,EFF_13,#695B52,0.8030845003584983,0.4369880631048133
720575941503539287,75302735431613167,ab-PDF,visceral_circulatory,ab-PDF,EFF_08,#EFCD6D,3.5459258633116844,0.4598717167455604
720575941535900353,75232641565808144,MNad22_A7,visceral_circulatory,MNad22,EFF_07,#90735D,2.637126136795676,0.7063619568426063
720575941547348029,75232572913379291,MNad22_A6,visceral_circulatory,MNad22,EFF_07,#90735D,2.354041435048974,0.9698967411596229
720575941468776971,75443404268036023,MNad15,motor,MNad15,EFF_14,#6B5194,0.9930692987898948,2.619883723505204
720575941415606556,75021535534556459,NA,motor,NA,EFF_13,#695B52,0.8030845003584983,0.4369880631048133
720575941531195595,76427879424750954,trochanter_flexor_ventrolateral_ribbon,motor,trochanter_flexor_ventrolateral_ribbon,EFF_23,#3A9B9C,-2.753830186798179,-0.7062933967035363
