UMAP1,UMAP2,id,top_nt,nerve,region,super_class,side,super_cluster,hemilineage,cell_function,cell_function_detailed,body_part_effector,composite_cell_type,cell_class,cell_sub_class,cell_type,label,nerve_side,unordered_cluster,cluster,colours,body_part_effector2
7.164849365257443,1.230152968474183,720575941491765454,octopamine,abdominal_nerve_trunk,ventral_nerve_cord,motor,left,NA,TBD,unknown,NA,abdomen,MNad09,abdomen_motor_neuron,NA,MNad09,abdomen,left,3,EFF_05,#9C9286,abdomen
-6.421520626045047,-3.20119762032434,720575941492017790,acetylcholine,left_cervical_nerve,central_brain,motor,left,head-eye-antenna,putative_primary,neck_motor,neck_motor_neck_yaw,neck motor neck yaw,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,"CvN1,CvN2",neck motor neck yaw,left,9,EFF_12,#F35438,NA
8.321148479484737,-0.4078490695278312,720575941492158414,serotonin,left_pharyngeal_nerve,central_brain,motor,left,NA,putative_primary,pharynx_motor,NA,pharynx,MNx05,pharynx_motor_neuron,NA,MNx05,pharynx,left,6,EFF_04,#79B2E0,pharynx
-6.084592258430301,3.9724618235309457,720575941492266110,glutamate,left_dorsal_metathoracic_nerve,ventral_nerve_cord,motor,left,middle-hind leg,21A,unknown,NA,unknown,MNxm02,unknown_motor_neuron,NA,MNxm02,unknown,left,1,EFF_13,#CF603E,NA
-6.60778847882825,-3.324190374306884,720575941492452222,acetylcholine,left_dorsal_prothoracic_nerve,ventral_nerve_cord,motor,left,head-eye-antenna,16B,neck_motor,neck_motor_neck_roll,neck motor neck roll,DProN4,neck_motor_neuron,neck_roll_motor_neuron,DProN4,neck motor neck roll,left,9,EFF_12,#F35438,NA
1.95155127266121,0.9805854597766732,720575941492529278,gaba,left_second_abdominal_nerve,ventral_nerve_cord,motor,left,abdomen motor 1,TBD,unknown,NA,abdomen,MNad30,abdomen_motor_neuron,NA,MNad30,abdomen,left,5,EFF_07,#B56FCC,abdomen
-6.518808757758914,3.304312829085145,720575941493231536,acetylcholine,left_metathoracic_leg_nerve,ventral_nerve_cord,motor,left,middle-hind leg,TBD,leg_motor,leg_motor_extend_femur_tibia_joint,hind leg,tibia_extensor_SETi,leg_motor_neuron,hind_leg_motor_neuron,tibia_extensor_SETi,hind leg,left,1,EFF_13,#CF603E,hind leg
-6.429744159675418,-3.2942933997432853,720575941493508551,gaba,left_dorsal_prothoracic_nerve,ventral_nerve_cord,motor,left,head-eye-antenna,16B,neck_motor,NA,neck,DProN8,neck_motor_neuron,NA,DProN8,neck,left,9,EFF_12,#F35438,neck
6.665536487602414,0.3614901343067025,720575941493956734,peptide,abdominal_nerve_trunk,ventral_nerve_cord,visceral_circulatory,right,abdomen-ovulation,TBD,diuresis_stress_tolerance_pain_threshold,"diuresis_stress_tolerance_pain_threshold_Dh44,Lk",abdomen,MNad13,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,MNad13,abdomen,right,3,EFF_05,#9C9286,abdomen
6.201369369529904,0.9306594172199105,720575941494055038,octopamine,abdominal_nerve_trunk,ventral_nerve_cord,motor,right,abdomen-ovulation,TBD,unknown,NA,abdomen,MNad17,abdomen_motor_neuron,NA,MNad17,abdomen,right,3,EFF_05,#9C9286,abdomen
