vertex_id,root_626,super_class,cell_type,betweenness
301,720575941644591265,optic_lobe_intrinsic,Tm2,0.000639916605148
302,720575941431211951,descending,DNg29,32176.94895761086
303,720575941496349383,,,62.4800469893931
304,720575941631246306,central_brain_intrinsic,SIPa1_ventral_23,0.0012062726176115
305,720575941626164793,,,3.0736320096009364
306,720575941564246326,optic_lobe_intrinsic,Tm2,0.0
307,720575941477539636,central_brain_intrinsic,CL321,0.6698436414659403
308,720575941480262530,,,0.806870840406297
309,720575941589844535,ventral_nerve_cord_intrinsic,IN06B056,13.350291725657195
310,720575941626204571,central_brain_intrinsic,VA3_adPN,458.03254645325575
311,720575941574242973,central_brain_intrinsic,CB.FB7D1,0.9124482118256498
312,720575941564567862,sensory,SNch09,3.3401677210321306
313,720575941623351963,sensory,SNxx28,16.360443679802074
314,720575941639341173,ventral_nerve_cord_intrinsic,IN19B050,1786.2285408080106
315,720575941599647785,central_brain_intrinsic,CB0228,20.306124259621267
316,720575941685689839,ventral_nerve_cord_intrinsic,IN06A117,91.71958079840608
317,720575941462787728,central_brain_intrinsic,CRE022,1.1534166831921815
318,720575941661300792,ventral_nerve_cord_intrinsic,IN21A015,943.44704346869
319,720575941574886153,central_brain_intrinsic,SMP011a,0.8152536692302671
320,720575941469081821,,,0.0
321,720575941472386624,,,0.0005371454737255
322,720575941574410747,central_brain_intrinsic,SMP568,12.061198622899616
323,720575941575083784,sensory,SNpp38,26.224683868297948
324,720575941539217813,central_brain_intrinsic,Delta7,2.9398140798323804
325,720575941626471818,central_brain_intrinsic,VA2_adPN,472.4724500149256
326,720575941456322207,ventral_nerve_cord_intrinsic,IN13B009,713.4124656611675
327,720575941411443371,central_brain_intrinsic,LHAD1a2,3.083532780865278
328,720575941448400221,,,0.0
329,720575941526389124,ventral_nerve_cord_intrinsic,IN20A.22A053,75.96960306699373
330,720575941551868990,central_brain_intrinsic,LAL196,0.0113275908325721
331,720575941561659181,sensory_descending,DNx02,62.83818545785589
332,720575941481629370,ventral_nerve_cord_intrinsic,IN20A.22A027,605.4374601274108
333,720575941442418639,descending,DNpe017,17740.801639446694
334,720575941548979060,sensory,SNta09,6.79808935423764
335,720575941527654840,central_brain_intrinsic,l2LN21,7.455729789224683
336,720575941590222647,central_brain_intrinsic,CB1461,1076.2923013834202
337,720575941498974433,ventral_nerve_cord_intrinsic,IN13B012,431.3503648941539
338,720575941644727713,ascending,ANXXX006,10364.88215925773
339,720575941652483801,central_brain_intrinsic,Delta7,0.4098571439762
340,720575941526741837,central_brain_intrinsic,CB3771,0.0105333974032913
341,720575941569601650,ventral_nerve_cord_intrinsic,IN19A007,2538.0315811522723
342,720575941556533476,,,0.0
343,720575941515976185,central_brain_intrinsic,,0.2766189169938285
344,720575941539358613,central_brain_intrinsic,APL,53.302922814975936
345,720575941448131092,central_brain_intrinsic,AVLP107,0.365614395307832
346,720575941482072259,central_brain_intrinsic,"LAL171,LAL172",4.637115592267479
347,720575941576294248,optic_lobe_intrinsic,Mi1,0.0
348,720575941487825104,ventral_nerve_cord_intrinsic,IN07B029,250.6725166923747
349,720575941411207535,ventral_nerve_cord_intrinsic,IN14A083,10.299498979854924
350,720575941597665472,ventral_nerve_cord_intrinsic,IN03A007,3267.444575014005
351,720575941469308381,optic_lobe_intrinsic,Mi15,0.0027855153203342
352,720575941560566829,central_brain_intrinsic,CB0564,83.61112154675106
353,720575941643339464,optic_lobe_intrinsic,Mi1,0.0
