flow,super_class,cell_class,cell_sub_class,cell_function,cell_function_detailed,count
,,transmedullary_y,,,,5422
,,transverse_neuron,optic_lobe_tangential_neuron,,,2
,,,,,,33012
,,y_neuron,,,,1319
,,,,,,306
,sensory_ascending,orphan_neuron,abdomen_orphan_neuron,oxygenation,,1
,,,unknown_orphan_neuron,oxygenation,,1
,,,unknown_orphan_neuron,,,245
,ventral_nerve_cord_intrinsic,sequential_leg_neuromeres,ventral_nerve_cord_bilateral_interconnecting,,,30
,,,ventral_nerve_cord_bilateral_restricted,,,6
,,,ventral_nerve_cord_contralateral_interconnecting,,,4
,,,ventral_nerve_cord_contralateral_interconnecting,,,16
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,4
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,62
,,,ventral_nerve_cord_ipsilateral_restricted,,,2
,,single_leg_neuromere,ventral_nerve_cord_bilateral_interconnecting,,,4
,,,ventral_nerve_cord_bilateral_interconnecting,,,6
,,,ventral_nerve_cord_bilateral_interconnecting,,,65
,,,ventral_nerve_cord_bilateral_restricted,,,1
,,,ventral_nerve_cord_bilateral_restricted,,,15
,,,ventral_nerve_cord_bilateral_restricted,,,17
,,,ventral_nerve_cord_bilateral_restricted,,,345
,,,ventral_nerve_cord_contralateral_interconnecting,,,4
,,,ventral_nerve_cord_contralateral_restricted,,,84
,,,ventral_nerve_cord_contralateral_restricted,,,42
,,,ventral_nerve_cord_contralateral_restricted,,,614
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,12
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,62
,,,ventral_nerve_cord_ipsilateral_restricted,,,13
,,,ventral_nerve_cord_ipsilateral_restricted,,,59
,,,ventral_nerve_cord_ipsilateral_restricted,,,68
,,,ventral_nerve_cord_ipsilateral_restricted,,,1392
,,ventral_nerve_cord_centrifugal,ventral_nerve_cord_bilateral_interconnecting,,,43
,,,ventral_nerve_cord_contralateral_interconnecting,,,2
