UMAP1,UMAP2,id,neurotransmitter,side,region,super_class,hemilineage,cell_function,nerve,cell_sub_type,cell_class,cell_sub_class,cell_type,fafb_cell_type,manc_cell_type,super_cluster,st_cluster,manual_cluster,seed_12,pd_width,neck_group,group,label,cell_type_base,modality,cell_function_plot,clusterno,image_path,cosine_UMAP1,cosine_UMAP2,calculated_cluster,cluster,colours,pd_has_width,pd_size,image
0.8221650014870321,6.960898302899416,720575941549950207,acetylcholine,left,ventral_nerve_cord,ascending,08B,NA,NA,AN08B101,ascending_neuron,ascending_neuron,AN08B101,AN_GNG_164,AN08B101,probing,probing (AN),AN_01,AN_GNG_164_720575941549950207,0.28,OUT,ascending_OUT,NA,AN08B101,NA,NA,1,NA,10.157114772849908,-18.958336706617533,1,AN_01,#EC9832,TRUE,0.28,NA
13.901104796981112,1.452210329876955,720575941550148724,gaba,left,central_brain,descending,MD3,NA,NA,DNg31,descending_neuron,descending_neuron,DNg31,DNg31,DNg31,walking,walking (DN),DN_09,DNg31_720575941550148724,0.58,IN,descending_IN,NA,DNg31,NA,NA,14,NA,-0.5205677461091367,3.6425358100145484,14,DN_14,#77C8F2,TRUE,0.58,NA
2.984909642791048,-32.70283374894995,720575941550165054,gaba,right,central_brain,descending,LB6,reaching,NA,DNg10,descending_neuron,descending_neuron,DNg10,DNg10,DNg10,head orienting,head orienting (DN),DN_02,DNg10_720575941550165054,0.31,IN,descending_IN,DNg10,DNg10,NA,NA,4,NA,-42.38607427591718,6.15745461418325,4,DN_04,#947E6C,TRUE,0.31,NA
11.801803458785312,7.175846957074221,720575941550196797,acetylcholine,right,central_brain,descending,putative_primary,NA,NA,DNbe007,descending_neuron,descending_neuron,DNbe007,DNbe007,DNxl082,walking,walking (DN),DN_09,DNbe007_720575941550196797,0.73,IN,descending_IN,NA,DNbe007,NA,NA,9,NA,-0.39683099740445,6.8610302252977515,9,DN_09,#E42E2E,TRUE,0.73,NA
29.36667906150748,21.04486026655298,720575941550401086,acetylcholine,right,central_brain,descending,MX12,NA,NA,DNge001,descending_neuron,descending_neuron,DNge001,DNge001,DNfl029,grooming,grooming (DN),DN_17,DNge001_720575941550401086,0.35,IN,descending_IN,NA,DNge001,NA,NA,18,NA,-6.956845970100531,-6.4099401192457055,18,DN_18,#52AE4E,TRUE,0.35,NA
-7.17506660118173,19.43594684492212,720575941550561341,acetylcholine,right,central_brain,descending,SMPpv2_ventral,NA,NA,DNpe052,descending_neuron,descending_neuron,DNpe052,DNpe052,DNxl076,taste-touch,taste-touch (DN),DN_04,DNpe052_720575941550561341,0.63,OUT,descending_OUT,NA,DNpe052,NA,NA,5,NA,23.945195941978326,-3.824447031477151,5,DN_05,#D24A2C,TRUE,0.63,NA
-11.185448776627286,-38.160364724291746,720575941550649599,gaba,right,ventral_nerve_cord,ascending,06B,NA,NA,AN06B037,ascending_neuron,ascending_neuron,AN06B037,AN_IPS_GNG_5,AN06B037,head orienting,head orienting (AN),AN_02,AN06B037_720575941550649599,0.56,IN,ascending_IN,NA,AN06B037,NA,NA,4,NA,-40.37585851663984,-3.8756917671949243,4,AN_04,#947E6C,TRUE,0.56,NA
-0.349509756708845,-26.26655445207495,720575941550685063,acetylcholine,left,ventral_nerve_cord,ascending,07B,NA,NA,AN07B082,ascending_neuron,ascending_neuron,AN07B082,AN_GNG_175,AN07B082,head orienting,head orienting (AN),AN_02,AN07B082_720575941550685063,0.38,IN,ascending_IN,NA,AN07B082,NA,NA,4,NA,-36.93365499491132,1.0645002169817113,4,AN_04,#947E6C,TRUE,0.38,NA
6.226867545699373,0.39131663035016834,720575941550687037,gaba,left,ventral_nerve_cord,ascending,06B,NA,NA,AN06B007,ascending_neuron,ascending_neuron,AN06B007,auto:AN_multi_128,AN06B007,takeoff-landing,takeoff-landing (AN),AN_03,AN06B007_b_720575941550687037,0.58,IN,ascending_IN,NA,AN06B007,NA,NA,2,NA,6.41198661809527,1.757704977533164,2,AN_02,#298ABB,TRUE,0.58,NA
6.253258098220125,2.104693673955019,720575941550687805,acetylcholine,right,central_brain,descending,putative_primary,walking,NA,DNge050,descending_neuron,descending_neuron,DNge050,DNge050,DNxl049,probing,probing (DN),DN_01,DNge050_720575941550687805,0.72,IN,descending_IN,DNge050,DNge050,walking,walking,1,figures/schematics/umap_icons/walking.svg,0.17556151633822042,-3.9938210205823754,1,DN_01,#EC9832,TRUE,0.72,figures/schematics/umap_icons/walking.svg
